rating,film,rating_date
6,An Andalusian Dog (1929),"May 25, 2020, 8:20 AM"
3,1917 (2019),"May 25, 2020, 8:19 AM"
3,Planet Terror (2007),"May 25, 2020, 8:15 AM"
8,Landscape in the Mist (1988),"May 24, 2020, 4:11 PM"
1,The Mandalorian (2019),"May 21, 2020, 9:14 AM"
6,"Three Billboards Outside Ebbing, Missouri (2017)","May 17, 2020, 4:26 AM"
8,Nostalghia (1983),"May 3, 2020, 4:12 PM"
8,Yojimbo (1961),"May 3, 2020, 0:14 PM"
9,The Mirror (1975),"May 3, 2020, 11:50 AM"
6,The Black Cat (1968),"May 2, 2020, 3:30 PM"
9,Marketa Lazarová (1967),"May 1, 2020, 4:37 PM"
7,Vivre Sa Vie (My Life to Live) (1962),"April 26, 2020, 1:47 PM"
7,Happy End (1967),"April 19, 2020, 3:42 PM"
7,The Devil's Trap (1962),"April 16, 2020, 5:15 PM"
3,Last Year at Marienbad (1961),"April 5, 2020, 5:04 PM"
5,All About My Mother (1999),"April 3, 2020, 2:25 PM"
7,Badlands (1973),"April 3, 2020, 2:25 PM"
6,Reservoir Dogs (1992),"January 26, 2020, 2:27 PM"
9,City Lights (1931),"January 19, 2020, 0:16 PM"
8,The Suspended Step of the Stork (1991),"January 13, 2020, 10:25 AM"
6,Parasite (Gisaengchung) (2019),"January 12, 2020, 4:40 PM"
5,The Wolf of Wall Street (2013),"January 9, 2020, 7:00 AM"
6,Memories of Murder (2003),"January 6, 2020, 4:53 AM"
6,Magnolia (1999),"January 6, 2020, 4:52 AM"
6,Match Point (2005),"January 6, 2020, 4:46 AM"
6,Deconstructing Harry (1997),"January 6, 2020, 4:46 AM"
6,Late Spring (1949),"January 6, 2020, 4:45 AM"
5,"Torrente, the Dumb Arm of the Law (1998)","January 6, 2020, 4:35 AM"
6,Marnie (1964),"January 6, 2020, 4:12 AM"
3,Hereafter (2010),"January 6, 2020, 4:06 AM"
6,Her (2013),"January 6, 2020, 3:54 AM"
6,No Country for Old Men (2007),"January 6, 2020, 3:47 AM"
5,The Innocents (1961),"January 6, 2020, 3:42 AM"
6,The Phone Box (1972),"January 6, 2020, 3:39 AM"
6,Trainspotting (1996),"January 6, 2020, 3:36 AM"
6,Letters From Iwo Jima (2006),"January 6, 2020, 3:35 AM"
6,Film Socialism (2010),"January 6, 2020, 3:34 AM"
6,A Serious Man (2009),"January 6, 2020, 3:22 AM"
6,WALL•E (2008),"January 6, 2020, 3:15 AM"
6,Up (2009),"January 6, 2020, 3:15 AM"
6,Kino-Eye - Life Caught Unawares (1924),"January 5, 2020, 6:02 PM"
6,Black Mirror (2011),"January 5, 2020, 5:47 PM"
6,Black Mirror: The Entire History of You (2011),"January 5, 2020, 5:47 PM"
6,The Man Who Knew Too Much (1956),"January 5, 2020, 5:46 PM"
6,The 39 Steps (1935),"January 5, 2020, 5:45 PM"
6,Rumble Fish (1983),"January 5, 2020, 5:44 PM"
6,Django Unchained (2012),"January 5, 2020, 5:42 PM"
6,Derek - Pilot Episode (2012),"January 5, 2020, 5:42 PM"
6,Les Vampires (1915),"January 5, 2020, 5:31 PM"
6,Vampyr (1932),"January 5, 2020, 5:28 PM"
6,Duck Soup (1933),"January 5, 2020, 5:27 PM"
6,The Man with the Movie Camera (1929),"January 5, 2020, 5:26 PM"
6,In Cold Blood (1967),"January 5, 2020, 5:25 PM"
6,Raging Bull (1980),"January 5, 2020, 5:24 PM"
6,The Criminal Life of Archibaldo de la Cruz (1955),"January 5, 2020, 5:18 PM"
7,Cries and Whispers (1972),"January 5, 2020, 5:13 PM"
7,The Hustler (1961),"January 5, 2020, 5:12 PM"
7,Diabolique (1955),"January 5, 2020, 5:10 PM"
6,A Day at the Races (1937),"January 5, 2020, 4:55 PM"
6,Frenzy (1972),"January 5, 2020, 4:54 PM"
6,The Trouble With Harry (1955),"January 5, 2020, 4:54 PM"
6,Suspicion (1941),"January 5, 2020, 4:54 PM"
6,Roman Holiday (1953),"January 5, 2020, 4:53 PM"
6,Rebel Without a Cause (1955),"January 5, 2020, 4:52 PM"
6,"Steamboat Bill, Jr. (1928)","January 5, 2020, 4:52 PM"
6,Late Autumn (1960),"January 5, 2020, 4:52 PM"
6,The Ladykillers (1955),"January 5, 2020, 4:51 PM"
6,Mondays in the Sun (2002),"January 5, 2020, 4:50 PM"
6,Jaws (1975),"January 5, 2020, 4:50 PM"
6,Butch Cassidy and the Sundance Kid (1969),"January 5, 2020, 4:50 PM"
6,Straw Dogs (1971),"January 5, 2020, 4:50 PM"
6,The Sting (1973),"January 5, 2020, 4:49 PM"
6,Dog Day Afternoon (1975),"January 5, 2020, 4:49 PM"
6,Fitzcarraldo (1982),"January 5, 2020, 4:49 PM"
6,Mystic River (2003),"January 5, 2020, 4:48 PM"
6,Little Britain (2003),"January 5, 2020, 4:48 PM"
7,They Shall Not Grow Old (2018),"January 5, 2020, 4:35 PM"
6,Psycho (1960),"January 5, 2020, 4:33 PM"
6,Lights in the Dusk (2006),"January 5, 2020, 4:32 PM"
6,Groundhog Day (1993),"January 5, 2020, 4:30 PM"
6,Casino (1995),"January 5, 2020, 4:26 PM"
6,Eternal Sunshine of the Spotless Mind (2004),"January 5, 2020, 4:21 PM"
6,Fargo (2014),"January 5, 2020, 4:21 PM"
6,Spirited Away (2001),"January 5, 2020, 4:20 PM"
6,Mr. Bean (1990),"January 5, 2020, 4:03 PM"
6,Bottom (1991),"January 5, 2020, 4:03 PM"
6,I Hired a Contract Killer (1990),"January 5, 2020, 4:02 PM"
6,Grave of the Fireflies (1988),"January 5, 2020, 4:01 PM"
6,Louie (2010),"January 5, 2020, 3:58 PM"
6,The Tree of Life (2011),"January 5, 2020, 3:58 PM"
6,Spider-Man: Into the Spider-Verse (2018),"January 5, 2020, 3:55 PM"
6,The Cameraman (1928),"January 5, 2020, 3:49 PM"
5,The Hearts of Age (1934),"January 5, 2020, 3:49 PM"
6,Go West (1940),"January 5, 2020, 3:49 PM"
6,The Searchers (1956),"January 5, 2020, 3:40 PM"
6,"Faster, Pussycat! Kill! Kill! (1965)","January 5, 2020, 3:39 PM"
6,Lolita (1962),"January 5, 2020, 3:38 PM"
6,Irma la Douce (1963),"January 5, 2020, 3:38 PM"
6,71 Fragments of a Chronology of Chance (1994),"January 5, 2020, 3:37 PM"
6,Duel (1971),"January 5, 2020, 3:36 PM"
6,The Wild Bunch (1969),"January 5, 2020, 3:36 PM"
6,The Odd Couple (1968),"January 5, 2020, 3:36 PM"
6,The Dirty Dozen (1967),"January 5, 2020, 3:35 PM"
6,The Fabulous Adventures of Baron Munchausen (1979),"January 5, 2020, 11:45 AM"
6,Moon Madness (1984),"January 5, 2020, 11:45 AM"
6,The Front Page (1974),"January 5, 2020, 11:43 AM"
6,"Sex, Lies and Videotape (1989)","January 5, 2020, 11:42 AM"
6,Secrets and Lies (1996),"January 5, 2020, 11:42 AM"
6,Derek (2013),"January 5, 2020, 11:40 AM"
6,Eyes Wide Shut (1999),"January 5, 2020, 11:39 AM"
6,Happy Together (1997),"January 5, 2020, 11:38 AM"
6,Fireworks (1997),"January 5, 2020, 11:37 AM"
6,City of God (2002),"January 5, 2020, 11:37 AM"
6,Sympathy for Mr. Vengeance (2002),"January 5, 2020, 11:36 AM"
6,Death Proof (2007),"January 5, 2020, 11:34 AM"
6,The Lives of Others (2006),"January 5, 2020, 11:33 AM"
6,Memento (2000),"January 5, 2020, 11:32 AM"
6,Exit Through the Gift Shop (2010),"January 5, 2020, 11:27 AM"
6,Boardwalk Empire - Pilot (2010),"January 5, 2020, 11:25 AM"
6,The Artist (2011),"January 5, 2020, 11:25 AM"
6,The Illusionist (2010),"January 5, 2020, 11:23 AM"
6,Scarface (1983),"January 5, 2020, 11:22 AM"
6,The Black Adder (1983),"January 5, 2020, 11:22 AM"
6,The Thing (1982),"January 5, 2020, 11:22 AM"
6,The Great Escape (1963),"January 5, 2020, 11:22 AM"
6,Take the Money and Run (1969),"January 5, 2020, 11:22 AM"
6,Clerks (1994),"January 5, 2020, 11:20 AM"
6,"The Cook, the Thief, His Wife and Her Lover (1989)","January 5, 2020, 11:16 AM"
6,Blackadder Goes Forth (1989),"January 5, 2020, 11:16 AM"
6,Manhattan Murder Mystery (1993),"January 5, 2020, 11:16 AM"
6,Léolo (1992),"January 5, 2020, 11:16 AM"
6,Dogville (2003),"January 5, 2020, 11:14 AM"
6,Black Bread (2010),"January 5, 2020, 11:13 AM"
6,The Jinx: The Life and Deaths of Robert Durst (2015),"January 5, 2020, 11:12 AM"
6,Chernobyl (2019),"January 5, 2020, 11:12 AM"
6,Burning (2018),"January 5, 2020, 11:12 AM"
7,A City of Sadness (1989),"January 3, 2020, 8:06 PM"
5,The Railrodder (1965),"January 2, 2020, 11:27 AM"
9,A Time to Live and a Time to Die (1985),"December 25, 2019, 7:13 AM"
3,Castle in the Sky (1986),"December 24, 2019, 6:45 AM"
3,Columbo (1971),"December 16, 2019, 9:20 AM"
7,Shadows (1959),"December 16, 2019, 9:17 AM"
1,Gladiator (2000),"December 15, 2019, 5:06 PM"
3,The Walking Dead: Days Gone Bye (2010),"December 13, 2019, 3:31 PM"
7,When a Woman Ascends the Stairs (1960),"December 13, 2019, 10:00 AM"
8,Forbidden Games (1952),"December 13, 2019, 9:58 AM"
3,Game of Thrones: The Last Watch (2019),"December 8, 2019, 2:57 PM"
5,Black Swan (2010),"December 7, 2019, 4:42 PM"
7,"Rome, Open City (1945)","December 5, 2019, 4:44 PM"
8,To Live (1952),"December 5, 2019, 3:46 PM"
1,The Walking Dead (2010),"December 1, 2019, 1:47 PM"
3,Lost - Pilot Episode (2004),"December 1, 2019, 1:03 PM"
3,Dexter (2006),"November 26, 2019, 7:53 AM"
5,Euphoria (2019),"November 25, 2019, 5:27 AM"
1,Battle (2018),"November 23, 2019, 4:48 PM"
1,The Tourist (2010),"November 23, 2019, 4:21 PM"
1,The Notebook (2004),"November 21, 2019, 5:13 PM"
9,Andrei Rublev (1966),"November 21, 2019, 1:59 PM"
1,When They See Us (2019),"November 21, 2019, 8:58 AM"
5,Learn English with Ricky Gervais (2012),"November 18, 2019, 9:48 AM"
5,The Simpsons (1989),"November 18, 2019, 9:44 AM"
5,El Camino: A Breaking Bad Movie (2019),"November 18, 2019, 9:43 AM"
1,Unbreakable (2000),"November 17, 2019, 7:05 PM"
1,Dark Shadows (2012),"November 10, 2019, 1:14 PM"
8,A Woman Under the Influence (1974),"November 3, 2019, 0:46 PM"
5,Joker (2019),"November 1, 2019, 4:43 PM"
3,1922 (2017),"October 27, 2019, 1:12 PM"
7,Playtime (1967),"October 20, 2019, 2:16 PM"
7,Pink Flamingos (1972),"October 20, 2019, 8:53 AM"
1,Clinical (2017),"October 19, 2019, 4:13 PM"
7,Ivan the Terrible. Part II (1958),"October 17, 2019, 2:53 PM"
7,Ivan The Terrible. Part I (1944),"October 17, 2019, 2:52 PM"
1,Spider-Man: Far from Home (2019),"October 6, 2019, 1:36 PM"
1,Interstellar (2014),"October 4, 2019, 5:08 PM"
3,Ad Astra (2019),"October 4, 2019, 5:00 PM"
3,First Man (2018),"September 7, 2019, 6:04 PM"
3,The Martian (2015),"September 7, 2019, 6:03 PM"
3,The Untouchables (1987),"September 7, 2019, 5:52 PM"
3,Dunkirk (2017),"September 5, 2019, 5:56 PM"
1,Transcendence (2014),"September 5, 2019, 2:31 PM"
5,Skhizein (2008),"September 5, 2019, 8:27 AM"
3,A Backbone Tale (2004),"September 5, 2019, 8:07 AM"
7,The House of Small Cubes (2008),"September 5, 2019, 7:42 AM"
3,Gravity (2013),"August 30, 2019, 1:19 PM"
3,Once Upon a Time in... Hollywood (2019),"August 30, 2019, 1:00 PM"
7,Strike (1925),"August 28, 2019, 2:05 PM"
9,Ordet (The Word) (1955),"August 27, 2019, 5:51 PM"
1,Ma (2019),"August 25, 2019, 0:13 PM"
5,Black Hole Apocalypse (2018),"August 23, 2019, 5:33 AM"
9,The World of Apu (1959),"August 22, 2019, 1:13 PM"
5,Garfield and Friends (1988),"August 22, 2019, 6:16 AM"
3,Lost (2004),"August 22, 2019, 6:14 AM"
5,Better Call Saul (2015),"August 20, 2019, 7:44 PM"
1,Passengers (2016),"August 20, 2019, 6:46 PM"
9,Diary of a Country Priest (1951),"August 19, 2019, 1:50 PM"
5,12 Years a Slave (2013),"August 18, 2019, 2:42 PM"
9,Tales of Ugetsu (1953),"August 18, 2019, 8:43 AM"
9,Sansho the Bailiff (1954),"August 17, 2019, 1:02 PM"
1,Airplane Mode (2019),"August 14, 2019, 4:26 PM"
3,Aningaaq (2013),"August 14, 2019, 4:18 PM"
5,Black Mirror: San Junipero (2016),"June 17, 2019, 3:06 AM"
3,Black Mirror: Shut Up and Dance (2016),"June 16, 2019, 10:56 AM"
5,Black Mirror: Bandersnatch (2018),"May 27, 2019, 4:59 AM"
3,Black Mirror: The Waldo Moment (2013),"May 26, 2019, 9:24 AM"
5,Black Mirror: White Bear (2013),"May 26, 2019, 8:36 AM"
5,The Handmaiden (2016),"May 19, 2019, 0:41 PM"
8,Throne of Blood (1957),"May 19, 2019, 5:51 AM"
3,The Witness (2018),"May 18, 2019, 10:01 AM"
1,The Mermaid (2016),"May 15, 2019, 6:08 AM"
1,John Wick: Chapter Two (2017),"May 9, 2019, 3:11 PM"
3,Melancholia (2011),"May 5, 2019, 1:39 PM"
3,Avengers: Endgame (2019),"April 29, 2019, 1:37 AM"
1,Glass (2019),"April 21, 2019, 0:27 PM"
3,MARS: Inside SpaceX (2018),"April 15, 2019, 1:31 PM"
9,Solaris (1972),"April 9, 2019, 5:48 PM"
5,A Star Is Born (2018),"April 7, 2019, 11:00 AM"
5,Ring (1998),"April 7, 2019, 6:43 AM"
7,Love (2012),"April 4, 2019, 2:29 PM"
8,The South (1983),"April 4, 2019, 2:05 PM"
8,The Seventh Seal (1957),"March 31, 2019, 0:38 PM"
1,Us (2019),"March 30, 2019, 7:18 PM"
1,Dogman (2018),"March 24, 2019, 11:35 AM"
3,Bohemian Rhapsody (2018),"March 19, 2019, 4:08 AM"
5,Free Solo (2018),"March 16, 2019, 0:27 PM"
5,Journey to the Edge of the Universe (2008),"March 13, 2019, 5:10 PM"
7,Roma (2018),"March 8, 2019, 1:56 PM"
8,Sunrise (1927),"February 10, 2019, 3:17 PM"
3,Loving Pablo (2017),"February 10, 2019, 9:07 AM"
3,The Jungle Book (2016),"February 10, 2019, 9:06 AM"
3,In the Heart of the Sea (2015),"February 10, 2019, 9:00 AM"
3,The Revenant (2015),"February 10, 2019, 9:00 AM"
7,Blade Runner (1982),"February 10, 2019, 8:58 AM"
1,Venom (2018),"February 10, 2019, 8:57 AM"
1,Megalodon (2018),"February 10, 2019, 8:56 AM"
3,Gotham (2014),"December 24, 2018, 1:29 AM"
1,Aquaman (2018),"December 24, 2018, 1:26 AM"
7,Good Morning (1959),"November 29, 2018, 8:51 AM"
1,Game Night (2018),"October 1, 2018, 2:22 PM"
1,Rampage (2018),"October 1, 2018, 2:21 PM"
3,Red Sparrow (2018),"October 1, 2018, 2:20 PM"
1,Spider-Man: Homecoming (2017),"September 14, 2018, 4:34 AM"
9,Sunless (Sans soleil) (1983),"September 14, 2018, 4:32 AM"
1,Dirty Dancing (1987),"August 26, 2018, 10:17 PM"
3,Sausage Party (2016),"August 26, 2018, 10:54 AM"
9,Woman in the Dunes (1964),"August 24, 2018, 5:13 AM"
3,Hacksaw Ridge (2016),"August 20, 2018, 10:17 AM"
5,Funny Games U.S. (2007),"August 16, 2018, 6:35 PM"
1,La que se avecina (2007),"August 11, 2018, 1:19 PM"
1,Party Mom (2018),"August 11, 2018, 1:06 PM"
8,Umberto D. (1952),"August 9, 2018, 4:04 PM"
3,Vera Cruz (1954),"August 5, 2018, 1:16 PM"
3,The Shootist (1976),"August 5, 2018, 0:50 PM"
7,Sherlock Jr. (1924),"August 5, 2018, 7:29 AM"
7,A Night at the Opera (1935),"August 5, 2018, 7:29 AM"
7,Seven Chances (1925),"August 5, 2018, 7:26 AM"
7,The Circus (1928),"August 5, 2018, 7:22 AM"
7,Zelig (1983),"August 4, 2018, 10:10 PM"
7,In the Mood for Love (2000),"August 4, 2018, 10:08 PM"
7,Chungking Express (1994),"August 4, 2018, 10:08 PM"
9,Harakiri (1962),"August 4, 2018, 9:50 PM"
3,The Theory of Everything (2014),"August 4, 2018, 5:36 AM"
8,Samurai Rebellion (1967),"August 3, 2018, 3:08 PM"
5,Princess Mononoke (1997),"July 30, 2018, 5:25 AM"
1,Baahubali: The Beginning (2015),"July 30, 2018, 2:08 AM"
1,Trinity Is STILL My Name! (1971),"July 28, 2018, 7:32 PM"
1,Kung Fu (1972),"July 28, 2018, 7:32 PM"
1,Saving Private Ryan (1998),"July 28, 2018, 7:26 PM"
1,Snake Eyes (1998),"July 28, 2018, 7:26 PM"
1,Bridget Jones's Diary (2001),"July 28, 2018, 7:25 PM"
1,America's Sweethearts (2001),"July 28, 2018, 7:24 PM"
1,The Pursuit of Happyness (2006),"July 28, 2018, 7:21 PM"
1,Easy A (2010),"July 28, 2018, 7:20 PM"
1,Life of Pi (2012),"July 28, 2018, 7:20 PM"
5,The Hateful Eight (2015),"July 28, 2018, 5:57 PM"
3,Back to the Future (1985),"July 25, 2018, 7:38 PM"
5,Wonder Wheel (2017),"July 25, 2018, 7:37 PM"
1,Community (2009),"July 17, 2018, 9:52 AM"
1,Limitless (2011),"July 17, 2018, 9:51 AM"
1,Friends with Benefits (2011),"July 17, 2018, 9:51 AM"
1,The Dictator (2012),"July 17, 2018, 9:50 AM"
1,The Amazing Spider-Man 2 (2014),"July 17, 2018, 9:50 AM"
3,The IT Crowd (2006),"July 17, 2018, 9:44 AM"
